id,질문,정답,top1 문서
473,'Coles'와 'Woolworths'의 부활절 디저트 아이스크림 중 어떤 제품이 더 많은 직원에게 선호되었나요?,'Coles' 아이스크림이 초이스의 직원 55%에게 선호되었습니다.,"호주 소비자단체 초이스, 부활절 디저트 아이스크림 2종 비교 리뷰 발표 호주 소비자단체 초이스(Choice)는 'Coles'와 'Woolworths'의 부활절 디저트인 핫크로스번 아이스크림 2종에 대해 맛 테스트를 진행하고 그 결과를 발표함. [첫인상]'Coles' 버전은 쿠키 반죽과 통통한 건포도 조각으로 눈에 띄게 두터움. 반면 'Woolworths' 버전은 핫크로스번 맛의 잔물결 사이에 약간의 건포도가 있음. [가격]'Woolworths' 버전이 리터당 4.70달러인데 반해 'Coles' 아이스크림은 500ml 당 4 달러로 거의 두 배임. [평점]초이스의 직원 55%는 'Coles' 아이스크림을 선호했음.- 'Woolworths' 아이스크림은 ""놀라울 정도로 맛있고 크리미한 것""으로 알려졌으며, 계피의 강한 암시가 있음.- 'Coles' 아이스크림은 두툼한 양념쿠키 반죽과 통통한 건포도는 많은 팬을 만들고 고전적인 'rum'n'raisin'과 비교를 자아냈음."
474,호주에서 보충의약품을 판매하기 전에 반드시 포함되어야 하는 등록은 무엇인가요?,호주에서 보충의약품을 판매하기 전에 반드시 Australian Register of Therapeutic Goods(ARTG)에 포함되어야 합니다.,"호주 연방의료제품청, 보충의약품에 대한 설명 자료 발표 호주 연방의료제품청(TGA)이 보충의약품에 대한 전반적인 설명 자료를 발표함. [보충의약품(complementary medicine)이란?]보충의약품은 건강식품점, 슈퍼마켓, 약국에서 구할 수 있는 비처방의약품으로, 처방의약품(의사 처방)이나 일부 OTC 약품(일부 약사)과는 달리 소비자가 선택할 수 있도록 진열대에서 구입할 수 있음.보충의약품은 의료 전문가들이 권장하는 의료적인 치료를 대체해서는 안 되며, 그 예로는 다음과 같음.- 전통적인 생약(herbal medicine)- 일부 영양 보충제- 비타민 및 미네랄- 동종 요법(희석제) 준비- 에센셜 오일을 포함한 아로마요법 제품- 전통적인 중국 의약품- 아유르베딕(전통 인디언) 의약품 [보충의약품 규제 방법]대부분의 보충의약품은 호주에서 판매되기 전에 ATCG(Australian Register of Therapical Goods)에 포함되어야 함.보충의약품에는 세 가지 유형이 있음.- 라벨에 AUST L 번호가 있는 등재 보충의약품(listed complementary medicines)- 라벨에 AUST L(A) 번호가 있는 평가 등재 보충의약품(assessed listed complementary medicines) - 라벨에 AUST R 번호가 있는 등록 보충의약품(registered complementary medicines) 등재의약품과 평가 등재의약품은 일반적으로 의사나 약사가 처방하거나 권장하는 것이 아니라 소비자가 선택하며, 거의 대부분의 보충의약품은 등재의약품임. 등록의약품은 더 높은 위험성을 가지고 있으며, 일부 의약품은 소비자가 선택할 수 있는 반면, 일부는 건강 전문가를 통해서만 구입할 수 있음. [등재 보충의약품]등재 보충의약품은 위험이 낮으므로 판매하기 전에 유효성을 평가하지 않음.스폰서 회사가 의약품을 ARTG에 등록할 때, 다음을 표시해야 함.  - 사전 승인된 낮은 위험 수준의 성분만 함유- 사전 승인된 낮은 위험 수준의 건강적인 주장만 함- 의약품 보유 스폰서가 가지고 있는 증거에 의해 지지됨- 면허를 소지한 호주 내, 또는 승인된 해외 시설에서 제조됨- 치료용 상품 광고 법규(Therapeutic Goods Advertising Code) 등 다른 모든 규정을 준수함 등재의약품은 판매 중에 증거사항 검토 등의 규정 준수를 위해 검토할 수 있으며, 비준수의약품은 등재가 중지하거나 취소될 수 있음. [평가 등재 보충의약품]평가 등재 보충의약품은 다른 등재의약품보다 약간 더 위험한 건강 클레임을 제기함. 예를 들어, 등재의약품은 이명이나 류마티스 관절염과 같은 상태를 언급할 수 없지만, 평가 등재의약품은 가능함.평가 등재 보충의약품 더 많은 위험의 건강 클레임을 하기 때문에, 판매 전 효능 평가를 받음. 스폰서 회사는 반드시 인간 임상시험의 자료 등 의약품을 뒷받침할 수 있는 양질의 증거를 제공해야 하며, 평가 등재의약품은 (상징 및/또는 문장으로) 'TGA가 평가함'을 표시할 수 있음. - 'TGA가 평가함' 상세 내용 확인 : https://www.tga.gov.au/what-does-tga-assessed-mean-my-medicine-label  [등록 보충의약품]등록 보충의약품은 더 높은 위험 성분을 포함하거나 더 심각한 상태에 대한 건강 클레임을 제기할 수 있음이 제품들은 더 많은 위험을 가지고 있기 때문에, 판매 전에 이 의약품의 안전성과 품질, 효능을 충분히 평가하고 확인함. 스폰서 회사는 인간 임상시험 자료 등 의약품을 뒷받침할 수 있는 양질의 증거를 제공해야 함. 이 의약품 판매가 시작된 후 감시 도중 문제가 발견되면, 그 의약품의 등록이 중지되거나 취소될 수 있음. 등록 보충의약품은 'TGA가 평가함'을 표시할 수 있음."
475,영국 환경식품농촌부가 발표한 가이던스는 노딜 브렉시트 상황에서 어떤 복합식품을 수출하는 방법을 다루고 있나요?,해당 문서에 없음,"영국 환경식품농촌부, 노딜브렉시트 관련 EU로의 복합식품 수출가이던스 발표 영국 환경식품농촌부(DEFRA)는 11일(현지 시각), EU 탈퇴와 관련하여 EU로의 복합식품(composite food) 수출에 관한 가이던스(*)를 발표하였음. 동 가이던스는 복합식품(composite food)으로 간주하는 제품과 영국이 협상 없이 EU를 떠날 경우에 이러한 (복합식품) 제품을 수출하기 위해 따라야 규칙을 다루고 있음. 가이던스에서 다루고 있는 항목은 다음과 같음:- 복합 식품 제품으로 간주되는 것- 복합 식품 제품으로 간주되지 않는 것- 노딜 브렉시트(no-deal Brexit)의 경우 복합 식품 제품을 수출하는 방법- EU 국경 지점에서의 검사 면제 대상 복합 식품- 복합 식품에 대한 EU 표준 (*)가이던스: https://www.gov.uk/guidance/export-composite-food-products-to-the-eu-in-a-no-deal-brexit#exemptions"
476,호주 농업수자원부가 페루의 새우 및 새우 제품 수입을 허용한 날짜는 언제인가요?,2019년 5월 17일부터 페루의 새우 및 새우 제품의 수출이 재개될 수 있습니다.,"페루 보건부 농산물위생청, 조류 인플루엔자로 프랑스산 가금류 수입 금지  페루 보건부 농산물위생청에 따르면, 조류인플루엔자 감염 위험으로 프랑스산 가금육 및 가금류 제품 수입을 180일간 금지한다고 밝힘. 이 기간은 추후 조정될 수 있음.페루는 2005년부터 조류인플루엔자 청정지대임."
477,호놀룰루시의회에서 발의된 플라스틱 금지 법안이 언제 발효될 수 있나요?,2020년 1월에 적용될 수 있음.,"[위생용품]미국 호놀룰루시, 플라스틱 식기& 스티로폼 용기 등에 대한 금지 법안 발의 움직임 미국 호놀룰루시의회는 일회용 플라스틱 기구 및 봉지 금지를 검토하고 있음. 만일 동 법안이 채택되면 금지령은 1월 초에 발효될 수 있음. 호놀룰루시의회에서 새로운 금지령이 승인되면, 스티로폼 용기에 점심을 먹고 플라스틱 빨대에서 소다를 마시는 것이 곧 과거의 일이 될 수 있음. 시의원 'Joey Manahan'이 동 법안을 소개했으며, 그는 환경을 오염시키는 플라스틱의 문제가 동 법안을 만든 이유 중 하나라고 설명했음.금지에는 스티로폼 용기, 포크, 수저, 칼, 빨대 및 일부 비닐봉지를 포함한 일회용 플라스틱 기구를 포함됨.과거에도 스티로폼과 플라스틱을 금지하려는 시도가 있었으나 실패한 바 있음.동 법안은 8월 말에 공공안전위원회에서 다뤄질 예정이며, 다시 9월에 다시 전체 심의회로 넘어갈 예정임. 통과될 경우, 2020년 1월에 적용될 수 있음."
478,보리스 존슨은 GM 작물에 대한 유럽의 환경 규정을 어떻게 하겠다고 했나요?,보리스 존슨은 GM 작물 및 가축의 개발을 억제한 유럽의 환경 규정을 포기하겠다고 약속했습니다.,"영국, 신임 총리 보리스 존슨 GM 작물에 관한 EU 규정을 따르지 않을 것이라는 의견 표명 수요일(보도일 기준) 영국에서 신임 총리 보리스 존슨(Boris Johnson)은 첫 번째 연설에서 GM 작물 및 가축의 개발을 억제한 유럽의 환경 규정을 포기하겠다고 약속함. 그는 ""영국의 뛰어난 생물 과학 부문을 반-유전적 수정 규칙으로부터 자유롭게 하고, 세계에 식량으로 나눠줄 수 있는(feed the world) 병충해 저항성 작물을 개발하자""고 전함 식물육종가들은 보리스 존슨이 GM을 둘러싼 규제를 흔들겠다는 의지에 대해 긍정적이었음. 현재 몬산토(사)의 810 옥수수 종자 중 오직 한 종류만이 유럽에서 상업적 승인을 받았으며, 모든 GM 수입은 경우에 따라 엄격한 안전성 평가가 부과됨."
479,디트로이트 강 부지 붕괴로 인해 캐나다 윈저 시가 제기한 우려는 무엇인가?,캐나다 윈저 시는 디트로이트 강 부지 붕괴로 인해 인근 물의 방사능 안전성에 대한 우려를 제기하고 있다.,"캐나다 윈저 시, 방사능 물질 생산 지역이었던 디트로이트 강 일대 식수 안전 우려 제기해 제2차 세계대전 당시 방사능 물질을 생산하던 디트로이트 강의 한 부지가 지난주 붕괴됨에 따라 인근 물의 안정성에 대한 우려가 나오고 있음.  미국 관계자들은 이 물에는 방사능이 없다고 말하는 반면, 캐나다 측 윈저 시는 우려를 제기하고 있음. 캐나다 의원 브라이언 마세(Brian Masse)는 목요일 성명을 통해, 2019년 11월 27일 디트로이트 벌크 창고(Detroit Bulk Storage)의 적재물 무게 때문에 미국 방면 디트로이트 강의 리비어 코퍼 부지(Revere Copper Site)가 붕괴됐을 가능성이 높다고 주장했음. 마세는 캐나다 하원에 자신의 우려를 표명하고 미국과 캐나다 정부가 가능한 위협을 평가하기 위해 협력할 것을 요청했음. 마세는 ""약 4천만명의 사람들이 해당 호수를 식수로 사용하고 있으며, 생태계는 이미 취약하다""고 말하며, ""어떤 잠재적 위협도 즉시 양국에서 조사해야 한다.""고 말했음.  이에 미시간주 남동부 지역 주민을 위한 식수 복지를 책임지고 있는 'Great Lakes Water Authority(GLWA)'는 성명을 통해 식수가 안전하다고 밝혔음. GLWA 대변인인 애슐리 샤텔(Ashleigh Chatel)은 이메일을 통해 본지(CNN)측으로 ""취수구(intake location)가 상류에 있기 때문에 붕괴로 인한 수질 문제가 발생할 위험이 없다""고 밝혔음. 미시간주 환경부(EGLE)의 닉 어센델프트(Nick Assendelft)는 EGLE이 디트로이트 시내에서 남쪽으로 4마일 떨어진 곳에 20명의 관계자들을 파견했다고 밝히며, EGLE이 봄철 현장 점검 결과 방사능 위협은 발견되지 않았다고 말했음."
480,유럽집행위원회는 GM 대두 A2704-12의 승인 갱신 신청에 대한 의견수렴을 언제까지 진행하나요?,2019년 2월 13일까지 진행할 예정임.,"유럽집행위원회, GM 대두 A2704-12의 허가 갱신 신청에 관한 의견수렴 실시 유럽집행위원회는 GM 식품 및 사료에 관한 유럽규정 (EC) No 1829/2003에 따라 2019년 2월 13일까지 '식품 및 사료용 GM 대두 A2704-12 승인 갱신 신청' 에 대한 의견수렴을 실시할 예정임.  한편 유럽식품안전청(EFSA)은 2019년 1월 14일, '식품 및 사료용 'GM 대두 A2704-12'에 대한 견해를 발표한 바 있음. *기수집정보 ""유럽식품안전청, GM 대두 A2704-12의 승인 갱신 신청에 관한 과학적 견해 발표(수집일자: 2019-01-15)"" 관련*의견수렴 페이지: http://ec.europa.eu/food/dyna/opinion/index.cfm?op_product=Soybean%20A2704-12"
481,유럽집행위원회가 의견수렴을 진행하는 유전자변형 대두의 정확한 명칭은 무엇인가?,MON 87751 × MON 87701 × MON 87708 × MON 89788,"유럽연합 집행위원회, GM 면화 MON 88701에 관한 의견수렴 실시 유럽식품안전청(EFSA)은 지난 30일 식품사료용 유전자 변형(GM) 면화 MON 88701에 관한 신규 견해를 발표했음.이에 따라 유럽연합 집행위원회는 해당 GM 면화에 대한 의견수렴을 실시함.  GM 식품사료에 관한 유럽규정 (EC) No. 1829/2003에 따라 대중은 30일 동안 EFSA 견해에 대한 의견을 제시할 수 있음. 동 의견수렴은 2017년 5월 2일에 종료됨."
482,EU가 일본 후쿠시마산 식품에 대한 수입 제한을 완화할 가능성이 있는 이유는 무엇인가?,일본 당국이 EU에 후쿠시마 원전 사고로 타격을 입은 지역의 일부 식품에 대한 수입 제한 조치를 완화할 것을 제안했기 때문임.,"유럽연합, 후쿠시마 농산물 수입 제한 완화 예정(일본 언론 인용)   일본 언론은 유럽 연합이 내년 초부터 역내로 수입되는 일부 식품에 대한 방사능 스크리닝을 요구하지 않을 가능성에 대해 보도하였음. 출처에 따르면, 보고서는 EU가 채소 및 감을 제외한 과일, 가축 생산품 제외를 계획 중이라고 전함. 후쿠시마 다이치 원자력 발전소 인근 지역 산 식품 수입은 2011년 사고 발생 이후 의무적인 방사능 검사 대상이었음. 기타 현에서 생산된 쌀 및 기타 식품, 식용야생식물 또한 목록에서 제외될 수 있음. 출처는 EU가 유럽 과학인단이 수행한 생산 분석 이후, 지난주에 제한을 완화하는 안을 승인했다고 전했음. 집행위는 올해 말 규제 완화에 관한 공식적인 결정을 내릴 것으로 보임. 일본 각료들은 수입 제한 폐지를 강력하게 요구해왔음. 일본 외무성 장관은 지난달 룩셈부르크에서 이 사안에 대해 EU 측과 논의한바 있음. 일본은 2020년까지 식품 수출을 1/3 늘리기를 희망함. 일본의 대EU 수출량이 지난해 1/5 증가했음에도 불구하고, 현재 일본 총수출의 5.4%를 차지하는 데 그침. 유럽연합의 제재 완화는 기타 국가들에 일본 수출품의 안전성에 관한 강력한 메세지가 될 것임. 인근 국가 중 한국은 최근 일본의 일부 수산물 수입을 금지했고, 대만은 일본에 대한 수입 규제를 강화한 바 있음."
483,유럽에서 진행 중인 유전자편집기술 관련 청원의 목표는 무엇인가?,유럽 전역 시민 백만의 서명을 모으는 것을 목표로 하고 있음.,"유럽, 유전자편집기술에 관한 유럽연합의 입장 개선 촉구 청원 진행 중  신규 식물육종기술에 대해 유럽의 더 나은 법적 관리체계를 요구하는 청원이 개시됐음. 동 청원은 유전자편집과 같은 신기술의 경우에 지속가능성, 안전 및 책임있는 혁신에 집중할 것을 촉구하고 있음. 현재 유럽의 규제 체계는 신규 육종기술을 암묵적으로 금지하고 있음. 하지만 식물육종 종사자들은 이러한 기술이 자원과 시간이 부족한 특정 작물을 육종하는데 있어서는 귀한 툴이라고 입을 모았음. 'Grow Scientific Progress (GSP)'에 의해 진행되고 있는 이번 청원은 유럽 전역 시민 백만의 서명을 모으는 것을 목표로 하고 있음. 단체는 `유럽 시민 입법 청원제(ECI)' 형태로 유럽집행위에 구체적 안을 제출했음. 제출한 내용은 식물육종기술의 발전을 검토하는 현행법 개정에 관해 담고 있음."
484,황금쌀이 개발된 지 얼마나 되었나요?,이미 20년 전,"방글라데시, GMO 작물 '골든 라이스'를 경작할 최초 국가가 될 예정 방글라데시는 곧 GMO 작물 '골든 라이스' 재배 승인을 받은 최초 국가가 될 것으로 보임.지난 2년 동안, 미국, 캐나다, 뉴질랜드 및 호주의 규제 당국은 골든 라이스 소비를 승인함.방글라데시에서 검토 중인 골든 라이스는 필리핀 국제쌀연구소(IRRI)에서 만들어졌음. 연구진은 베타카로틴 유전자를 단(dhan) 29라는 쌀 종자에 발현시킴. 단 29는 방글라데시의 건기 동안 널리 자라며 전국 수확량의 약 14%를 차지함. 가지풀에 위치한 방글라데시 쌀 연구소(BRRI) 연구진은 단 29 골든 라이스를 여러 장소에서 시험한 결과 비타민 A를 가진 것을 제외하고는 새로운 농업 문제도 없고 품질에 큰 차이가 없음을 발견함.환경 부처가 승인한 후에는 농무부 종자인증기관에 골든 라이스를 등록해야 함. 또한 종자 품질 테스트를 위하여 여러 곳에서 현장 재배를 해야 함. 이 과정이 순조롭게 진행된다면 농부들은 2021년부터 황금 쌀 종자를 심을 수 있음."
485,유럽대마산업협회는 칸나비디올 함유 제품의 규제 조치에 대해 어떤 입장을 표명했나요?,유럽대마산업협회는 칸나비디올 함유 제품에 대한 규제 조치가 '균형이 맞지 않고 무의미하다'고 비판하며 반대 의견을 표명했습니다.,"유럽대마산업협회, 칸나비디올 함유 제품에 대한 규제 조치에 반대 의견 표명 유럽대마산업협회(EIHA)가 칸나비디올 함유 제품에 대한 규제 조치가 ""균형이 맞지 않고 무의미하다""고 비판하였음.  유럽대마산업협회는 최근 칸나비디올 관련 제품을 재분류한 '신규 식품 목록'의 변경에 반대하였음. 변경된 내용에 따라 칸나비디올 함유 제품들은 앞으로 EU 영리 시장에 진입하기 위해 사전 승인을 받아야 함.  협회측은 ""이러한 불필요하고 비논리적이며 통념에 어긋난 변화는 유럽대마산업협회 회원들과 유럽 대마 산업계 전체에게 용납할 수 없는 일""이라고 밝혔음. 또한 ""20년 전에 합법이라고 인정을 받은 식품이 왜 갑자기 불법이 되는가""라고 비판하였음. 해당 변경 사항은 법적 구속력이 없으며 단순한 권고 사항에 불과하나, 업계 관계자 및 소비자들의 분노를 불러일으키고 있음. 핵심 문제는 이러한 변화로 인해 식품 또는 음료 재료로서의 장기적 합법성에 불확실성이 생겼으며, 이로 인해 '신규 식품'으로서 승인이나 허가를 받아야 한다는 점임. 유럽대마산업협회는 1998년 대마 업계가 유럽연합으로부터 대마 꽃 및 잎을 식품에 사용해도 된다는 서면 허가를 받았다고 설명하였음. 협회 측은 ""이러한 (허가) 결정을 토대로 대마 산업에 투자가 이루어졌고, 지금은 유럽 정부나 정책 결정자들에게 저지당하는게 아니라 투자금을 회수할 때이다""고 밝혔음."
486,유럽식품안전청이 카나비디올을 신식품으로 재분류한 이유는 무엇인가?,카나비디올과 헴프 유래 식품 보충제가 유럽 내에서 합법적으로 판매될 수 없음을 명확히 하기 위해 재분류되었다.,"유럽식품안전청, CBD를 신식품으로 재분류 유럽식품안전청(EFSA)은 카나비디올을 신식품(Novel Food)으로 재분류한 가운데 이는 카나비디올(CBD)과 헴프 유래 식품 보충제가 유럽 내에서 합법적으로 판매될 수 없음을 뜻하는 변화임. 현재 신식품 목록(Catalogue) 중 카나비노이드(Cannabinoids)는 다음과 같이 명시되어 있음. ""Cannabis sativa L. 및 카나비노이드 함유의 그 유래 제품은 섭취 이력이 증명되지 않았으므로 신식품으로 간주된다. 이는 추출물 그 자체 그리고 헴프씨 ㅣ오일과 같은 원료로서 첨가된 제품 모두에 적용된다. 또한 다른 카나비노이드 함유 식물의 추출물에도 적용된다. 합성해서 얻은 카나비노이드도 신규(novel)로 간주한다."" 이번 재분류는 CBD 및 기타 헴프 유래 제품의 규정에 대한 모호성을 언급하며 신식품 목록(Catalogue) 업데이트를 요구한 영국과 프랑스, 독일, 이탈리아 그리고 네덜란드 언론을 통해 확인됐음. 영국 식품기준청은 CBD 식품 용도에 대한 허가 신청을 마무리짓는 중에는 시장에서 제거되길 원한다는 뉴스 보도까지 있었음. 현재, 유럽식품안전청은 성인의 하루 최대 섭취량을 130 mg으로 한 식품 보충제 용도로서 CBD에 대한 신식품신청을 검토 중이며, 최종 견해는 2019년 3월에 발표될 것으로 예상됨. *신식품 목록(Catalogue) http://ec.europa.eu/food/safety/novel_food/catalogue/search/public/index.cfm"
487,사우스오스트레일리아주에서 GM 작물 금지가 해제되는 시기는 언제인가요?,12월입니다.,"호주 사우스오스트레일리아주, 12월부터 GM 작물 금지 해제 * 관련 기수집정보 - 호주 사우스오스트레일리아주, GM 작물 금지령 해제해(수집일자: 2019-08-19) 호주 사우스오스트레일리아(South Australia)주에서 장기간 지속되었던 GM 작물 금지가 12월 해제됨. 주정부는 관보의 새로운 규정을 통해, 6주간의 자문 기간 동안의 커뮤니티 피드백을 받은 이후, SA 본토에서 GM 작물을 허용한다고 전함. 하지만 캥거루 섬(Kangaroo Island)에서는 GM 금지령이 지속될 것임.  주요산업 장관 'Tim Whetstone'은 ""이제 SA 본토에서 모라토리엄(금지령)을 해제할 시간이 되었으며, 농부들에게 개별 사업 및 특정 조건을 기반으로 무엇을 심을 것인가에 대한 정보에 입각한 선택을 할 수 있는 기회를 줘야 한다.""라고 말함."
488,메인 주의 연어 양식업자들이 유전자변형 연어를 사용하지 않는 이유는 무엇인가?,"메인 주의 연어 양식업자들은 고객들이 매장에서 유전자변형 연어를 요구해야 하는 등의 변화가 있어야 한다고 주장하며, 현재로서는 유전자변형 연어 양식에 흥미가 없다고 밝혔기 때문이다.","엘살바도르, FAO의 권고에도 불구하고 GMO 사용 거부해  라울 베니테즈(Raul Benitez) 유엔식량농업기구(FAO) 부총장은 기후변화에 따른 영향을 줄일 수 있는 방법으로 저수지를 건설하거나 GMO 씨앗을 이용할 수 있다고 지적했음. 이러한 FAO의 권고에도 불구하고 엘살바도르 농축산부(MAG)는 FAO의 권고사항을 따르지 않고 있음. FAO는 가뭄에 저항성이 있는 GMO 씨앗을 사용하면 곡물의 생산성을 끌어올릴 수 있다고 전하지만 MAG는 위험성 등을 이유로 GMO 사용을 거부하고 있음. 그러나 엘살바도르는 사실상 수년 전부터 GMO 식품은 수입하고 있는 상황임. 2008년 엘살바도르 입법의회는 씨앗에 관한 법 제 30조를 폐지하기로 결정하면서 GMO 씨앗의 사용을 허가했지만 생산자들은 GMO 씨앗을 수확용으로 사용하지 못했음. 이유는 천연자원환경부(MARN)가 GMO를 사용할 수 있는 지역을 설정하지 않았기 때문임."
489,브렉시트 이후 영국과의 국경에서 어떤 조치가 이루어질 예정인가요?,"영국과의 국경에서 새로운 통제가 수행되어야 하며, 회원국들은 국경검사소를 설치하고 집행위는 이를 신속하게 승인하고 있습니다.","영국 정부, 브렉시트 이후 EU에서 영국으로 수입되는 신선식품에 대한 국경 검사 또 연기 영국 정부는 영국에 반입되는 식품, 동식물 제품에 대한 브렉시트 이후 검사의 도입이 다섯 번째로 연기되었음을 확인함.  2024년 1월 30일부터 유럽연합(EU)산 중위험 동물성 제품, 식물 및 식물 제품 및 비동물성 고위험 식품을 포함한 품목을 영국으로 수입할 때 위생증명서가 필요하며, 4월 말부터는 영국 국경에서 이 제품들에 대한 물리적 검사가 실시됨. 최종 단계인 2024년 10월 말부터는 EU 수입품에 대한 안전 및 안보 신고가 시행될 것임.  정부는 국경 목표 운영 모델(Target Operating Model)로 알려진 국경 전략을 통해 생물보안 위협으로부터 영국이 더욱 보호될 것이라고 함. 2023-04-06 기수집 정보: 영국 정부, 새로운 국경 강화 계획 발표...  불법 수입 등 대처 목적"
490,"Reily Foods Co., Inc가 회수 중인 마요네즈 제품의 회수 사유는 무엇인가요?",효모(yeast)로 인해 가스가 형성되어 병이 부풀어 마요네즈가 유출됨,"[E/R]미국 Lyrical Foods Inc, 원료 마늘 표시 누락한 라비올리 회수 -지역: 미국 MD, MA, CA, FL, IN, WA , TX-제품명: Kite Hill Mushroom and Ricotta Ravioli; frozen Ravioli made with almond milk ricotta: 9 oz. UPC 856624004173-소유 및 유통사: Lyrical Foods Inc (회수중, 회수일 5/11/2017)-회수사유: 원료명에 마늘 표시 누락"
491,영국 환경부 장관 마이클 고브는 식품 폐기물 저감을 위해 어떤 기업들이 2030년까지 식품 폐기물을 절반으로 줄이겠다고 서약했는가?,"네슬레, 테스코, 세인즈 베리, 웨이트로즈","영국 환경식품농촌부장관, 식품 폐기물 저감 위한 정부 노력에 동참할 것을 독려 영국 환경부 장관 마이클 고브는 오늘(보도일기준) 식품 폐기물 저감하기 위한 획기적인 정부 정책에 따른 6백만 파운드 이상의 2차 기금에 대한 지원을 청하기 위해 단체들을 초청하였음. 동 기금은 자선단체 및 기타 기관들이 남은 식품을 다루고 재배포하는 것을 개선하기 위해 무게장치, 보관 해법, 보관소, 산업용 냉장고 및 냉동고, 라벨링 장비 및 차량과 같은 인프라에 투자될 예정임.오늘(보도일기준) ""식품 폐기물 챔피언(Food Waste Champion)""이 300개 이상의 주요 식품 업계 업체들을 빅토리아 앤 알버트 뮤지엄에서 맞이하여, 네슬레, 테스코, 세인즈 베리, 웨이트로즈를 포함한 기업들이 2030년까지 식품 폐기물을 절반으로 줄이는 것을 포함하여 음식물 쓰레기에 대한 강력한 행동을 취할 것을 서약하였음. 환경부 장관은 또한 영국에서 잉여 식품의 재배포가 지난 3년 동안 거의 두 배로 증가한 것으로 나타났으며, 1년에 1억 3천 3백만번의 식사와 맞먹는 양을 생산할 수 있을 만한 식량이 절약되었다고 발표했음. 환경부 장관 마이클 고브는 "" 매년 수백만 톤의 영양가 있는 좋은 음식이 버려지며, 오늘 저는 두 번째 기금 마련을 통해 단체들이 식량을 버리지는 못하도록 돕겠으며, 좋은 음식을 낭비하지 않도록 진정한 변화를 함께 가져올 수 있다""고 전하였음(*).현재 영국에서 매년 약 55,000의 잉여 식품이 소매 업체 및 식품 제조업체로부터 재배포되며, 1년에 2억 5천만끼에 해당하는 식량 10만t이 더 섭취 가능한 것으로 추산됨.(*) DEFRA 장관 마이클고브 연설문: https://www.gov.uk/government/speeches/michael-gove-on-tackling-food-waste"
492,FDA가 식품 동일성 규격의 현대화를 통해 달성하고자 하는 주요 목표는 무엇인가?,"FDA는 현대화된 규격을 통해 소비자를 경제적 위화로부터 보호하고, 식품의 기본 특성, 필수 특성, 영양 무결성을 유지하며, 산업 혁신을 촉진하고 제조업체가 보다 건강한 식품을 생산하도록 권장하는 유연성을 제공하고자 한다.","미국 식품의약품청, 식품 동일성 규격의 현대화 관련 공개회의 개최 예정 미국 식품의약품청(FDA)은 일부 이해관계자들이 시대에 뒤떨어져 혁신을 저해할 수 있다고 생각하는 식품 동일성 규격(food standards of identity) 현대화에 관한 공개회의를 9월 27일 개최할 예정임. FDA는 “규격화된 식품의 기본 특성과 필수 특성에 영향을 미치지 않고 새로운 기술과 새로운 재료 제공 등과 같은 추가적인 유연성 제공""에 대한 의견을 구하고 있음. FDA에 따르면, 현대화된 규격은 (1) 소비자를 경제적 위화로부터 보호해야 하고, (2) 식품의 기본 특성, 필수 특성, 영양 무결성을 유지해야 하며, (3) 산업 혁신을 촉진하고, 제조업체가 보다 건강한 식품을 생산하도록 권장하는 유연성을 제공해야 함.  한 편, 비평가들은 FDA가 '우유(젖소의 젖)'와 '마요네즈(달걀 기반 제품)’와 같은 제품에 대한 동일성 규격을 시행하는데 있어서 도움이 되지 않는 변화를 보였다고 주장했음. FDA는 2015년 규격 위반에 대한 문제 제기 후 몇 주 뒤, ‘Hampton Creek’(사)(현 ‘JUST, Inc’)에 (마요네즈의 달걀 기반 동일성 규격과 맞지 않는) 달걀이 들어있지 않은 스프레드에 대해 ‘Just Mayo’ 브랜드를 유지할 수 있다고 말해 눈살을 찌푸리게 한 적이 있음."
493,세계도핑방지기구(WADA)가 2019년도에 금지 물질 리스트에 추가한 성분은 무엇인가?,Epiandrosterine가 추가되었음.,"세계도핑방지기구(WADA), 금지 보충제 성분 리스트 시행 세계도핑방지기구(WADA)의 업데이트된 금지 물질 리스트가 시행되었으며, WADA는 식이보충제 및 연관 성분과 관련된 변경 작업을 하고 있음. 세계도핑방지규약(World Anti doping Code)의 모든 서명자에 의무를 부과하는 6개 국제 표준 중 하나인 해당 리스트는 작년 9월에 발표되었음. 2019년도 변경사항은 Epiandrosterine가 추가되었는데, 해당 성분은 스테로이드의 예로서 일부 식이보충제에서 발견될 수 있음. 기타 변경의 목적은 식이보충제에서 발견되거나 은폐제(masking agents)로 사용되는 성분들이 등제된 리스트를 이용하여 인체가 자연적으로 생산하지 않은 스테로이드 대사물질의 확인을 간소화하는 것임. 일부 보충제에서 발견될 수 있는 이미 금지된 물질들 중 다른 예들이 추가되었음. 이들 물질 중에는 DMBA에 대한 다른 이름인 4ㅡmethylpentan-2-amine가 포함됨. 보충제 업계는 DMBA를 사용해왔으며, 대체이름으로 리스트에 등재되었음(디메틸 아밀아민(Dimethylamylamine)의 대체제). * 상세 금지 물질들은 아래 주소에서 확인 가능: https://www.wada-ama.org/sites/default/files/wada_2019_english_prohibited_list.pdf"
